district_id,female_literacy_pct,poverty_rate_pct,avg_asha_visits,anm_camps_held,jsy_payout_delay_days,institutional_delivery_rate_pct
DIST_001,64.9816047538945,38.26040543074219,8.942383601195376,8.937357981056218,28.38704703953,63.88887451233561
DIST_002,88.02857225639664,41.363195497322266,9.484142907143458,13.729444819114835,30.666356324079885,70.11288650200352
DIST_003,79.2797576724562,21.130121624015235,9.074781494771814,12.052045647428809,20.58955094399738,71.74301344173918
DIST_004,73.94633936788146,13.851817358468686,5.699878988890296,14.52715405047183,23.459315473795325,61.422547859188676
DIST_005,56.24074561769746,17.97773068896796,3.217554611527154,22.031523106633706,23.203403935871094,54.51591031437566
DIST_006,56.23978081344811,24.94877260191897,8.694706991795314,10.227175495823587,32.51870478265852,61.2844375281566
DIST_007,52.323344486727976,38.63051680728726,5.6155717796384454,20.360759595749556,13.862262869993899,63.59888537977155
DIST_008,84.6470458309974,40.12557041397202,9.492869830881965,19.094455797724073,20.049193822600163,74.44051147187785
DIST_009,74.04460046972835,10.243324568591675,9.262611871930085,7.891490238926761,30.8089520156323,68.28777057025974
DIST_010,78.32290311184181,27.8761555902148,8.684514795040997,3.5996104584818287,32.83182571531587,66.171321152665
DIST_011,50.823379771832094,24.609385110207263,4.783160947854156,4.554621516527806,21.313295841684276,52.60637579230513
DIST_012,88.79639408647978,17.77377336647556,6.0865142533411465,3.587059176383439,24.05806961833353,63.22365522509983
DIST_013,83.29770563201687,14.195287856678899,8.772774141741479,5.469330429450679,14.773587145864095,72.82504215213163
DIST_014,58.49356442713105,21.81653099912698,5.071403319480288,16.47848236841444,14.066335192919428,61.54417793589526
DIST_015,57.27299868828403,43.00183963693817,4.162416453882235,2.1235890055107616,25.192828050887194,48.35760710746767
DIST_016,57.33618039413735,21.312102620726435,6.487531182632848,9.248302343802582,18.096226224796606,59.46327406146887
DIST_017,62.169689718381505,28.157671761017813,8.860322439332316,19.081739043287307,25.222937148475364,68.1599546123169
DIST_018,70.99025726528951,34.60566356133123,7.595983925355629,2.0048723585833947,13.864498636390866,58.64538949295907
